Ticker;Name;Industry;Sub Industry;Headquarters Location;Date added
A;Agilent Technologies;Health Care;Health Care Equipment;Santa Clara, California;2000
AAL;American Airlines Group;Industrials;Airlines;Fort Worth, Texas;2015
AAP;Advance Auto Parts;Consumer Discretionary;Automotive Retail;Raleigh, North Carolina;2015
AAPL;Apple Inc;Information Technology;Technology Hardware  Storage & Peripherals;Cupertino  California;1982
ABBV;AbbVie;Health Care;Pharmaceuticals;North Chicago, Illinois;2012
ABC;AmerisourceBergen;Health Care;Health Care Distributors;Conshohocken, Pennsylvania;2001
ABT;Abbott;Health Care;Health Care Equipment;North Chicago, Illinois;1964
ACGL;Arch Capital Group;Financials;Reinsurance;Hamilton, Bermuda;2022
ACN;Accenture;Information Technology;IT Consulting & Other Services;Dublin, Ireland;2011
ADBE;Adobe Inc;Information Technology;Application Software;San Jose, California;1997
ADI;Analog Devices;Information Technology;Semiconductors;Wilmington, Massachusetts;1999
ADM;ADM;Consumer Staples;Agricultural Products;Chicago, Illinois;1981
ADP;ADP;Information Technology;Data Processing & Outsourced Services;Roseland, New Jersey;1981
ADSK;Autodesk;Information Technology;Application Software;San Francisco, California;1989
AEE;Ameren;Utilities;Multi Utilities;St  Louis, Missouri;1991
AEP;American Electric Power;Utilities;Electric Utilities;Columbus, Ohio;1957
AES;AES Corporation;Utilities;Independent Power Producers & Energy Traders;Arlington, Virginia;1998
AFL;Aflac;Financials;Life & Health Insurance;Columbus, Georgia;1999
AIG;American International Group;Financials;Property & Casualty Insurance;New York City, New York;1980
AIZ;Assurant;Financials;Multi line Insurance;New York City, New York;2007
AJG;Arthur J Gallagher & Co;Financials;Insurance Brokers;Rolling Meadows, Illinois;2016
AKAM;Akamai;Information Technology;Internet Services & Infrastructure;Cambridge, Massachusetts;2007
ALB;Albemarle Corporation;Materials;Specialty Chemicals;Charlotte, North Carolina;2016
ALGN;Align Technology;Health Care;Health Care Supplies;Tempe, Arizona;2017
ALK;Alaska Air Group;Industrials;Airlines;SeaTac, Washington;2016
ALL;Allstate;Financials;Property & Casualty Insurance;Northfield Township, Illinois;1995
ALLE;Allegion;Industrials;Building Products;New York City, New York;2013
AMAT;Applied Materials;Information Technology;Semiconductor Equipment;Santa Clara, California;1995
AMCR;Amcor;Materials;Paper Packaging;Warmley, †Bristol, United Kingdom;2019
AMD;AMD;Information Technology;Semiconductors;Santa Clara, California;2017
AME;Ametek;Industrials;Electrical Components & Equipment;Berwyn, Pennsylvania;2013
AMGN;Amgen;Health Care;Biotechnology;Thousand Oaks, California;1992
AMP;Ameriprise Financial;Financials;Asset Management & Custody Banks;Minneapolis, Minnesota;2005
AMT;American Tower;Real Estate;Specialized REITs;Boston, Massachusetts;2007
AMZN;Amazon;Consumer Discretionary;Internet & Direct Marketing Retail;Seattle, Washington;2005
ANET;Arista Networks;Information Technology;Communications Equipment;Santa Clara, California;2018
ANSS;Ansys;Information Technology;Application Software;Canonsburg, Pennsylvania;2017
AON;Aon;Financials;Insurance Brokers;London, UK;1996
AOS;A O Smith;Industrials;Building Products;Milwaukee, Wisconsin;2017
APA;APA Corporation;Energy;Oil & Gas Exploration & Production;Houston, Texas;1997
APD;Air Products and Chemicals;Materials;Industrial Gases;Allentown, Pennsylvania;1985
APH;Amphenol;Information Technology;Electronic Components;Wallingford, Connecticut;2008
APTV;Aptiv;Consumer Discretionary;Auto Parts & Equipment;Dublin, Ireland;2012
ARE;Alexandria Real Estate Equities;Real Estate;Office REITs;Pasadena, California;2017
ATO;Atmos Energy;Utilities;Gas Utilities;Dallas, Texas;2019
ATVI;Activision Blizzard;Communication Services;Interactive Home Entertainment;Santa Monica, California;2015
AVB;AvalonBay Communities;Real Estate;Residential REITs;Arlington, Virginia;2007
AVGO;Broadcom Inc;Information Technology;Semiconductors;San Jose, California;2014
AVY;Avery Dennison;Materials;Paper Packaging;Glendale, California;1987
AWK;American Water Works;Utilities;Water Utilities;Camden, New Jersey;2016
AXP;American Express;Financials;Consumer Finance;New York City, New York;1976
AZO;AutoZone;Consumer Discretionary;Specialty Stores;Memphis, Tennessee;1997
BA;Boeing;Industrials;Aerospace & Defense;Chicago, Illinois;1957
BAC;Bank of America;Financials;Diversified Banks;Charlotte, North Carolina;1976
BALL;Ball Corporation;Materials;Metal & Glass Containers;Broomfield, Colorado;1984
BAX;Baxter International;Health Care;Health Care Equipment;Deerfield, Illinois;1972
BBWI;Bath & Body Works Inc;Consumer Discretionary;Specialty Stores;Columbus, Ohio;1983
BBY;Best Buy;Consumer Discretionary;Computer & Electronics Retail;Richfield, Minnesota;1999
BDX;Becton Dickinson;Health Care;Health Care Equipment;Franklin Lakes, New Jersey;1972
BF.B;Browna Forman;Consumer Staples;Distillers & Vintners;Louisville, Kentucky;1982
BIIB;Biogen;Health Care;Biotechnology;Cambridge, Massachusetts;2003
BIO;Bio Rad;Health Care;Life Sciences Tools & Services;Hercules, California;2020
BK;BNY Mellon;Financials;Asset Management & Custody Banks;New York City, New York;1995
BKNG;Booking Holdings;Consumer Discretionary;Internet & Direct Marketing Retail;Norwalk, Connecticut;2009
BKR;Baker Hughes;Energy;Oil & Gas Equipment & Services;Houston, Texas;2017
BLK;BlackRock;Financials;Asset Management & Custody Banks;New York City, New York;2011
BMY;Bristol Myers Squibb;Health Care;Pharmaceuticals;New York City, New York;1957
BR;Broadridge Financial Solutions;Information Technology;Data Processing & Outsourced Services;Lake Success, New York;2018
BRK.B;Berkshire Hathaway;Financials;Multi Sector Holdings;Omaha, Nebraska;2010
BRO;Brown & Brown;Financials;Insurance Brokers;Daytona Beach, Florida;2021
BSX;Boston Scientific;Health Care;Health Care Equipment;Marlborough, Massachusetts;1995
BWA;BorgWarner;Consumer Discretionary;Auto Parts & Equipment;Auburn Hills, Michigan;2011
BXP;Boston Properties;Real Estate;Office REITs;Boston, Massachusetts;2006
C;Citigroup;Financials;Diversified Banks;New York City, New York;1988
CAG;Conagra Brands;Consumer Staples;Packaged Foods & Meats;Chicago, Illinois;1983
CAH;Cardinal Health;Health Care;Health Care Distributors;Dublin, Ohio;1997
CARR;Carrier Global;Industrials;Building Products;Palm Beach Gardens, Florida;2020
CAT;Caterpillar Inc;Industrials;Construction Machinery & Heavy Trucks;Irving, Texas;1957
CB;Chubb Limited;Financials;Property & Casualty Insurance;Zurich, Switzerland;2010
CBOE;Cboe Global Markets;Financials;Financial Exchanges & Data;Chicago, Illinois;2017
CBRE;CBRE Group;Real Estate;Real Estate Services;Dallas, Texas;2006
CCI;Crown Castle;Real Estate;Specialized REITs;Houston, Texas;2012
CCL;Carnival;Consumer Discretionary;Hotels  Resorts & Cruise Lines;Miami  Florida;1998
CDAY;Ceridian;Information Technology;Application Software;Minneapolis, Minnesota;2021
CDNS;Cadence Design Systems;Information Technology;Application Software;San Jose, California;2017
CDW;CDW;Information Technology;Technology Distributors;Lincolnshire, Illinois;2019
CE;Celanese;Materials;Specialty Chemicals;Irving, Texas;2018
CEG;Constellation Energy;Utilities;Multi Utilities;Baltimore, Maryland;2022
CF;CF Industries;Materials;Fertilizers & Agricultural Chemicals;Deerfield, Illinois;2008
CFG;Citizens Financial Group;Financials;Regional Banks;Providence, Rhode Island;2016
CHD;Church & Dwight;Consumer Staples;Household Products;Ewing, New Jersey;2015
CHRW;CH Robinson;Industrials;Air Freight & Logistics;Eden Prairie, Minnesota;2007
CHTR;Charter Communications;Communication Services;Cable & Satellite;Stamford, Connecticut;2016
CI;Cigna;Health Care;Managed Health Care;Bloomfield, Connecticut;1976
CINF;Cincinnati Financial;Financials;Property & Casualty Insurance;Fairfield, Ohio;1997
CL;Colgate Palmolive;Consumer Staples;Household Products;New York City, New York;1957
CLX;Clorox;Consumer Staples;Household Products;Oakland, California;1969
CMA;Comerica;Financials;Diversified Banks;Dallas, Texas;1995
CMCSA;Comcast;Communication Services;Cable & Satellite;Philadelphia, Pennsylvania;2002
CME;CME Group;Financials;Financial Exchanges & Data;Chicago, Illinois;2006
CMG;Chipotle Mexican Grill;Consumer Discretionary;Restaurants;Newport Beach, California;2011
CMI;Cummins;Industrials;Industrial Machinery;Columbus, Indiana;1965
CMS;CMS Energy;Utilities;Multi Utilities;Jackson, Michigan;1999
CNC;Centene Corporation;Health Care;Managed Health Care;St  Louis, Missouri;2016
CNP;CenterPoint Energy;Utilities;Multi Utilities;Houston, Texas;1985
COF;Capital One;Financials;Consumer Finance;Tysons Corner, Virginia;1998
COO;CooperCompanies;Health Care;Health Care Supplies;San Ramon, California;2016
COP;ConocoPhillips;Energy;Oil & Gas Exploration & Production;Houston, Texas;1957
COST;Costco;Consumer Staples;Hypermarkets & Super Centers;Issaquah, Washington;1993
CPB;Campbell Soup Company;Consumer Staples;Packaged Foods & Meats;Camden, New Jersey;1957
CPRT;Copart;Industrials;Diversified Support Services;Dallas, Texas;2018
CPT;Camden Property Trust;Real Estate;Residential REITs;Houston, Texas;2022
CRL;Charles River Laboratories;Health Care;Life Sciences Tools & Services;Wilmington, Massachusetts;2021
CRM;Salesforce;Information Technology;Application Software;San Francisco, California;2008
CSCO;Cisco;Information Technology;Communications Equipment;San Jose, California;1993
CSGP;CoStar Group;Industrials;Research & Consulting Services;Washington, D C ;2022
CSX;CSX;Industrials;Railroads;Jacksonville, Florida;1967
CTAS;Cintas;Industrials;Diversified Support Services;Mason, Ohio;2001
CTLT;Catalent;Health Care;Pharmaceuticals;Somerset, New Jersey;2020
CTRA;Coterra;Energy;Oil & Gas Exploration & Production;Houston, Texas;2008
CTSH;Cognizant;Information Technology;IT Consulting & Other Services;Teaneck, New Jersey;2006
CTVA;Corteva;Materials;Fertilizers & Agricultural Chemicals;Indianapolis, Indiana;2019
CVS;CVS Health;Health Care;Health Care Services;Woonsocket, Rhode Island;1957
CVX;Chevron Corporation;Energy;Integrated Oil & Gas;San Ramon, California;1957
CZR;Caesars Entertainment;Consumer Discretionary;Casinos & Gaming;Reno, Nevada;2021
DAL;Delta Air Lines;Industrials;Airlines;Atlanta, Georgia;2013
DD;DuPont;Materials;Specialty Chemicals;Wilmington, Delaware;2019
DE;John Deere;Industrials;Agricultural & Farm Machinery;Moline, Illinois;1957
DFS;Discover Financial;Financials;Consumer Finance;Riverwoods, Illinois;2007
DG;Dollar General;Consumer Discretionary;General Merchandise Stores;Goodlettsville, Tennessee;2012
DGX;Quest Diagnostics;Health Care;Health Care Services;Secaucus, New Jersey;2002
DHI;DR Horton;Consumer Discretionary;Homebuilding;Arlington, Texas;2005
DIS;Disney;Communication Services;Movies & Entertainment;Burbank, California;1976
DISH;Dish Network;Communication Services;Cable & Satellite;Meridian, Colorado;2017
DLR;Digital Realty;Real Estate;Specialized REITs;Austin, Texas;2016
DLTR;Dollar Tree;Consumer Discretionary;General Merchandise Stores;Chesapeake, Virginia;2011
DOV;Dover Corporation;Industrials;Industrial Machinery;Downers Grove, Illinois;1985
DOW;Dow Inc;Materials;Commodity Chemicals;Midland, Michigan;2019
DPZ;Domino s;Consumer Discretionary;Restaurants;Ann Arbor, Michigan;2020
DTE;DTE Energy;Utilities;Multi Utilities;Detroit, Michigan;1957
DUK;Duke Energy;Utilities;Electric Utilities;Charlotte, North Carolina;1976
DVA;DaVita Inc;Health Care;Health Care Facilities;Denver, Colorado;2008
DVN;Devon Energy;Energy;Oil & Gas Exploration & Production;Oklahoma City, Oklahoma;2000
DXC;DXC Technology;Information Technology;IT Consulting & Other Services;Tysons Corner, Virginia;2017
DXCM;Dexcom;Health Care;Health Care Equipment;San Diego, California;2020
EA;Electronic Arts;Communication Services;Interactive Home Entertainment;Redwood City, California;2002
EBAY;eBay;Consumer Discretionary;Internet & Direct Marketing Retail;San Jose, California;2002
ECL;Ecolab;Materials;Specialty Chemicals;Saint Paul, Minnesota;1989
EFX;Equifax;Industrials;Research & Consulting Services;Atlanta, Georgia;1997
EIX;Edison International;Utilities;Electric Utilities;Rosemead, California;1957
EL;The Esta e Lauder Companies;Consumer Staples;Personal Products;New York City, New York;2006
ELV;Elevance Health;Health Care;Managed Health Care;Indianapolis, Indiana;2002
EMN;Eastman Chemical Company;Materials;Diversified Chemicals;Kingsport, Tennessee;1994
EMR;Emerson Electric;Industrials;Electrical Components & Equipment;Ferguson, Missouri;1965
ENPH;Enphase;Information Technology;Electronic Components;Fremont, California;2021
EOG;EOG Resources;Energy;Oil & Gas Exploration & Production;Houston, Texas;2000
EPAM;EPAM Systems;Information Technology;IT Consulting & Other Services;Newtown, Pennsylvania;2021
EQIX;Equinix;Real Estate;Specialized REITs;Redwood City, California;2015
EQR;Equity Residential;Real Estate;Residential REITs;Chicago, Illinois;2001
EQT;EQT;Energy;Oil & Gas Exploration & Production;Pittsburgh, Pennsylvania;2022
ESS;Essex Property Trust;Real Estate;Residential REITs;San Mateo, California;2014
ETR;Entergy;Utilities;Electric Utilities;New Orleans, Louisiana;1957
ETSY;Etsy;Consumer Discretionary;Internet & Direct Marketing Retail;New York City, New York;2020
EVRG;Evergy;Utilities;Electric Utilities;Kansas City, Missouri;2018
EW;Edwards Lifesciences;Health Care;Health Care Equipment;Irvine, California;2011
EXC;Exelon;Utilities;Multi Utilities;Chicago, Illinois;1957
EXPD;Expeditors International;Industrials;Air Freight & Logistics;Seattle, Washington;2007
EXPE;Expedia Group;Consumer Discretionary;Internet & Direct Marketing Retail;Seattle, Washington;2007
EXR;Extra Space Storage;Real Estate;Specialized REITs;Salt Lake City, Utah;2016
F;Ford Motor Company;Consumer Discretionary;Automobile Manufacturers;Dearborn, Michigan;1957
FANG;Diamondback Energy;Energy;Oil & Gas Exploration & Production;Midland, Texas;2018
FAST;Fastenal;Industrials;Building Products;Winona, Minnesota;2008
FDS;FactSet;Financials;Financial Exchanges & Data;Norwalk, Connecticut;2021
FDX;FedEx;Industrials;Air Freight & Logistics;Memphis, Tennessee;1980
FFIV;F5 Inc;Information Technology;Communications Equipment;Seattle, Washington;2010
FIS;FIS;Information Technology;Data Processing & Outsourced Services;Jacksonville, Florida;2006
FISV;Fiserv;Information Technology;Data Processing & Outsourced Services;Brookfield, Wisconsin;2001
FLT;Fleetcor;Information Technology;Data Processing & Outsourced Services;Atlanta, Georgia;2018
FMC;FMC Corporation;Materials;Fertilizers & Agricultural Chemicals;Philadelphia, Pennsylvania;2009
FOX;Fox Corporation Class B;Communication Services;Movies & Entertainment;New York City, New York;2015
FOXA;Fox Corporation†Class A;Communication Services;Movies & Entertainment;New York City, New York;2013
FRC;First Republic Bank;Financials;Regional Banks;San Francisco, California;2019
FRT;Federal Realty;Real Estate;Retail REITs;Rockville, Maryland;2016
FSLR;First Solar;Information Technology;Semiconductors;Tempe, Arizona;2022
FTNT;Fortinet;Information Technology;Systems Software;Sunnyvale, California;2018
FTV;Fortive;Industrials;Industrial Machinery;Everett, Washington;2016
GD;General Dynamics;Industrials;Aerospace & Defense;Falls Church, Virginia;1957
GEHC;GE HealthCare;Health Care;Health Care Technology;Chicago, Illinois;2023
GEN;Gen Digital;Information Technology;Application Software;Tempe, Arizona;2003
GILD;Gilead Sciences;Health Care;Biotechnology;Foster City, California;2004
GIS;General Mills;Consumer Staples;Packaged Foods & Meats;Golden Valley, Minnesota;1969
GL;Globe Life;Financials;Life & Health Insurance;McKinney, Texas;1989
GM;General Motors;Consumer Discretionary;Automobile Manufacturers;Detroit, Michigan;2013
GNRC;Generac;Industrials;Electrical Components & Equipment;Waukesha, Wisconsin;2021
GOOG;Alphabet Inc Class C;Communication Services;Interactive Media & Services;Mountain View, California;2006
GOOGL;Alphabet Inc Class A;Communication Services;Interactive Media & Services;Mountain View, California;2014
GPC;Genuine Parts Company;Consumer Discretionary;Specialty Stores;Atlanta, Georgia;1973
GPN;Global Payments;Information Technology;Data Processing & Outsourced Services;Atlanta, Georgia;2016
GRMN;Garmin;Consumer Discretionary;Consumer Electronics;Schaffhausen, Switzerland;2012
GS;Goldman Sachs;Financials;Investment Banking & Brokerage;New York City, New York;2002
GWW;W W Grainger;Industrials;Industrial Machinery;Lake Forest, Illinois;1981
HAL;Halliburton;Energy;Oil & Gas Equipment & Services;Houston, Texas;1957
HAS;Hasbro;Consumer Discretionary;Leisure Products;Pawtucket, Rhode Island;1984
HCA;HCA Healthcare;Health Care;Health Care Facilities;Nashville, †Tennessee;2015
HD;Home Depot The;Consumer Discretionary;Home Improvement Retail;Atlanta, Georgia;1988
HES;Hess Corporation;Energy;Integrated Oil & Gas;New York City, New York;1984
HIG;Hartford The;Financials;Property & Casualty Insurance;Hartford, Connecticut;1957
HII;Huntington Ingalls Industries;Industrials;Aerospace & Defense;Newport News, Virginia;2018
HLT;Hilton Worldwide;Consumer Discretionary;Hotels  Resorts & Cruise Lines;Tysons Corner  Virginia;2017
HOLX;Hologic;Health Care;Health Care Equipment;Marlborough, Massachusetts;2016
HON;Honeywell;Industrials;Industrial Conglomerates;Charlotte, North Carolina;1964
HPE;Hewlett Packard Enterprise;Information Technology;Technology Hardware  Storage & Peripherals;Houston  Texas;2015
HPQ;HP Inc;Information Technology;Technology Hardware  Storage & Peripherals;Palo Alto  California;1974
HRL;Hormel Foods;Consumer Staples;Packaged Foods & Meats;Austin, Minnesota;2009
HSIC;Henry Schein;Health Care;Health Care Distributors;Melville, New York;2015
HST;Host Hotels & Resorts;Real Estate;Hotel & Resort REITs;Bethesda, Maryland;2007
HSY;Hershey s;Consumer Staples;Packaged Foods & Meats;Hershey, Pennsylvania;1957
HWM;Howmet Aerospace;Industrials;Aerospace & Defense;Pittsburgh, Pennsylvania;1964
IBM;IBM;Information Technology;IT Consulting & Other Services;Armonk, New York;1957
ICE;Intercontinental Exchange;Financials;Financial Exchanges & Data;Atlanta, Georgia;2007
IDXX;Idexx Laboratories;Health Care;Health Care Equipment;Westbrook, Maine;2017
IEX;IDEX Corporation;Industrials;Industrial Machinery;Lake Forest, Illinois;2019
IFF;International Flavors & Fragrances;Materials;Specialty Chemicals;New York City, New York;1976
ILMN;Illumina;Health Care;Life Sciences Tools & Services;San Diego, California;2015
INCY;Incyte;Health Care;Biotechnology;Wilmington, Delaware;2017
INTC;Intel;Information Technology;Semiconductors;Santa Clara, California;1976
INTU;Intuit;Information Technology;Application Software;Mountain View, California;2000
INVH;Invitation Homes;Real Estate;Residential REITs;Dallas, Texas;2022
